Organizations involved,States,Areas,Ownership,Industry code[1],Union,Union acronym,Union Local,Bargaining unit,Work stoppage beginning date,Work stoppage ending date,Number of workers[2],"Days idle, cumulative for this work stoppage[3]",Note
Allina Health,MN,Minneapolis- St. Paul,Private industry,622110,Minnesota Nurses Association/National Nurses United,"MNA, NNU",,,9/5/16,10/13/16,"4,800","129,600",
Contra Costa County,CA,Contra Costa County,Local government,921100,Service Employees International Union,SEIU,1021,,9/30/16,10/7/16,"1,100","6,600",
Pennsylvania State System of Higher Education,PA,Statewide,State government,611310,The Association of Pennsylvania State College and University Faculties,APSCUF,,,10/19/16,10/21/16,"5,100","15,300",
Southeastern Pennsylvania Transportation Authority,PA,Philadelphia,Local government,485111,Transport Workers Union,TWU,234,,11/1/16,11/7/16,"5,200","26,000",
University of California,CA,Statewide,State government,611310,International Brotherhood of Teamsters,IBT,2010 CX,,1/10/17,1/10/17,"2,200","2,200",
AT&T Inc.,"CA, NV",Los Angeles,Private industry,517110,Communications Workers of America,CWA,,,3/22/17,3/22/17,"13,200","13,200",
Charter Communications Inc.,"NY, NJ",Statewide,Private industry,517110,International Brotherhood of Electrical Workers,IBEW,3,,3/28/17,[4],"1,800",[4],
Tufts Medical Center,MA,Boston,Private industry,622110,Massachusetts Nurses Association,MNA,,,7/12/17,7/17/17,"1,200","3,600",
Chicago New Car Dealer Committee,IL,Chicago,Private industry,441110,International Association of Machinists and Aerospace Workers,IAMAW,,,8/1/17,9/15/17,"1,700","56,100",
Riverside County Municipal Government,CA,Riverside,Local government,921100,Service Employees International Union,SEIU,721,,9/6/17,9/7/17,"2,300","4,600",
City of Oakland,CA,Oakland,Local government,921100,Service Employees International Union/International Technical and Professional Engineers,SEIU,"1021, 21",,12/5/17,12/11/17,"2,900","14,500",
West Virginia Legislature,WV,Statewide,State government,611110,West Virginia Education Association,WVEA,,,2/16/18,3/6/18,"35,000","318,600","On February 16th, West Virginia school personnel from five counties - Mason, Cabell, Wayne, Lincoln, and Clay - were involved in a one-day work stoppage and those figures were included in monthly and cumulative days idle calculations for the statewide work stoppage beginning on February 22nd."
Frontier Communications,"WV, VA",Statewide,Private industry,517311,Communications Workers of America,CWA,,District 2-13,3/4/18,3/25/18,"1,400","21,000",
Jersey City School District,NJ,Jersey City,Local government,611110,Jersey City Education Association,,,,3/16/18,3/16/18,"3,800","3,800",
Kentucky State Legislature,KY,Statewide,State government,611110,Kentucky Education Association,,,,4/2/18,4/13/18,"26,000","52,000",Estimates based on identified school closings on 4/2 and 4/13 and employee data from Kentucky Department of Education reports.
Oklahoma State Legislature,OK,Statewide,State government,611110,Oklahoma Education Association,,,,4/2/18,4/12/18,"45,000","405,000",Estimates based on identified school closings and employee data from Oklahoma Department of Education reports.
Arizona State Legislature,AZ,Statewide,State government,611110,Arizona Education Association,,,,4/26/18,5/3/18,"81,000","486,000",Estimates based on identified school closings and employee data from Arizona Department of Education reports.
Colorado State Legislature,CO,Statewide,State government,611110,Colorado Education Association,,,,4/26/18,4/27/18,"63,000","126,000",Estimates based on identified school closings and employee data from Colorado Department of Education reports.
University of California Medical Centers,CA,Statewide,State government,622110,"American Federation of State, County, and Municipal Employees, California Nurses Association, University Professional and Technical Employees","AFSCME, CNA, UPTE",AFSCME 3299,,5/7/18,5/9/18,"53,000","159,000",
North Carolina State Legislature,NC,Statewide,State government,611110,North Carolina Association of Educators,,,,5/16/18,5/16/18,"123,000","123,000",Estimates based on identified school closings and employee data from North Carolina Board of Education reports.
AT&T Inc.,"IL, IN, MI, OH, WI",,Private industry,517311,Communications Workers of America,CWA,District 4,,6/1/18,6/5/18,"9,700","29,100","Work stoppage began on May 31st, but it could not be determined if criteria for inclusion was met on May 31st."
National Grid,MA,Waltham,Private industry,221210,United Steelworkers,,"12003, 12012",,6/25/18,1/2/19,"1,200","157,200",
University of Vermont Medical Center,VT,Burlington,State government,622210,Vermont Federation of Nurses and Health Professionals,,5221,,7/12/18,7/13/18,"1,800","3,600",
Rhode Island and Hasbro Children's Hospital,RI,Providence,Private industry,622210,United Nurses and Health Professionals,,5098,,7/23/18,7/27/18,"2,400","12,000",
Association General Contractors of Washington,WA,Statewide,Private industry,237310,International Union of Operating Engineers,,302,,8/21/18,9/6/18,"5,000","60,000",
Michigan Infrastructure and Transportation Association,MI,Statewide,Private industry,237310,International Union of Operating Engineers,,324,,9/4/18,9/27/18,"1,000","18,000",
Tacoma School District,WA,Tacoma,Local government,611110,Tacoma Education Association,,,,9/6/18,9/14/18,"2,400","16,800",
Chicago Downtown Hotels,IL,Chicago,Private industry,721110,UNITE HERE,,1,,9/7/18,10/3/18,"5,500","91,000","Number of workers based on the average of 26 hotels with 6,000 workers from 9/7 to 9/22, 17 hotels with 4,500 workers from 9/23 to 9/30 and 9 hotels with 1,000 workers from 10/1 to 10/3. After 10/3 less than 1,000 workers."
Marriott Corporation,"CA, HI, MA, MI",,Private industry,721110,UNITE HERE,,,,10/3/18,12/3/18,"6,000","215,900","Includes weighted average of workers for sites where individual agreements were reached during period Oakland, San Diego, San Jose, Hawaii, Boston, and Detroit prior to the end of the stoppage San Francisco."
University of California Medical Centers,CA,,State government,622110,"American Federation of State, County, and Municipal Employees",AFSCME,3299,,10/23/18,10/25/18,"15,000","45,000",
Kaiser Permanente,CA,,Private industry,62111,National Union of Healthcare Workers,NUHW,,,12/10/18,12/14/18,"4,000","20,000",
Los Angeles Unified School District,CA,Los Angeles,Local government,611110,United Teachers Los Angeles,,,,1/14/19,1/22/19,"33,000","198,000",
Denver Public Schools,CO,Denver,Local government,611110,Denver Classroom Teachers Association,,,,2/11/19,2/14/19,"3,900","11,700",Work stoppage concluded on 2/14/2019 at 6am.
West Virginia Legislature,WV,Statewide,State government,611110,West Virginia Education Association,,,,2/19/19,2/20/19,"36,400","72,800",Estimates based on employee data for participating counties from the West Virginia Department of Education reports.
Oakland Unified School District,CA,Oakland,Local government,611110,Oakland Education Association,,,,2/21/19,3/1/19,"2,300","16,100",
Wabtec Corp.,PA,Erie,Private industry,336510,"United Electrical, Radio and Machine Workers of America",UE,,,2/26/19,3/7/19,"1,700","13,600",
Kentucky State Legislature,KY,Statewide,State government,611110,Kentucky Education Association,,,,2/28/19,3/7/19,"22,900","39,500",Estimates based on identified school closings on 2/28 and 3/7 and employee data from the Kentucky Department of Education reports.
University of Illinois at Chicago,IL,Chicago,State government,611310,Graduate Employees Organization,GEO,6297,,3/19/19,4/5/19,"1,400","12,600",
University of California Medical Centers,CA,Statewide,State government,622110,University Professional and Technical Employees - Communications Workers of America,UPTE-CWA,9119,,3/20/19,3/21/19,"14,000","14,000","The stoppage started on March 20, at 4 a.m. and ended on March 21, at 3:59 a.m."
University of California Medical Centers,CA,Statewide,State government,622110,"American Federation of State, County and Municipal Employees",AFSCME,3299,,4/10/19,11/13/19,"25,000","75,000","Estimates based on identified closings on 4/10, 5/16 and 11/13."
Sacramento City Unified School District,CA,Sacramento,Local government,611110,Sacramento City Teachers Association,SCTA,,,4/11/19,4/11/19,"1,900","1,900",
Stop & Shop Supermarket Co.,"CT, RI, MA",Statewide,Local government,445110,United Food and Commercial Workers,UFCW,"328, 371, 919, 1445, 1459",,4/11/19,4/21/19,"31,000","217,000",
North Carolina State Legislature,NC,Statewide,State government,611110,North Carolina Association of Educators,,,,5/1/19,5/1/19,"92,700","92,700",Estimates based on identified school closings and employee data from North Carolina Board of Education reports.
South Carolina State Legislature,SC,Statewide,State government,611110,South Carolina Association of Educators,,,,5/1/19,5/1/19,"18,900","18,900",Estimates based on identified school closings and employee data from South Carolina Board of Education reports.
Mercy Health St. Vincent Medical Center,OH,Toledo,Private industry,622110,United Automobile Workers,UAW,"2213, 12",,5/6/19,6/2/19,"2,000","36,000",The work stoppage started at 4:30pm and did not meet threshold for inclusion on 5/6/2019.
Oregon State Legislature,OR,Statewide,State government,611110,Oregon Education Association,,,,5/8/19,5/8/19,"20,400","20,400",Estimated based on identified school closings and employee data from Oregon Department of Education reports.
AT&T Inc.,"AL, FL, GA, KY, LA, MS, NC, SC, TN",Statewide,Private industry,517311,Communications Workers of America,,,,8/24/19,8/28/19,"20,000","40,000",
Kennewick School District,WA,Kennewick,Local government,611110,Kennewick Education Association,,,,8/27/19,8/30/19,"1,800","7,200",
General Motors,MI,Statewide,Private industry,336300,United Automobile Workers,UAW,,,9/16/19,10/25/19,"46,000","1,334,000",
Tenet Healthcare,"CA, AZ, FL",Statewide,Private industry,622110,National Nurses United,,,,9/20/19,9/25/19,"4,300","12,900",
University of Chicago Nurses,IL,Chicago,Private industry,622110,National Nurses United,,,,9/20/19,9/25/19,"2,200","6,600",
Mack Trucks,"PA, MD, FL",Statewide,Private industry,336300,United Automobile Workers,UAW,677,,10/12/19,10/25/19,"3,500","28,000",
Asarco,"AZ, TX",Multiple,Private industry,212230,United Steelworkers ,USW,District 12,43751,10/13/19,7/6/20,"1,800","325,800",
Chicago Public Schools,IL,Chicago,Local government,611110,Chicago Teachers Union and Service Employees International Union,"CTU, SEIU","CTU Local 1, SEIU Local 73",,10/17/19,10/31/19,"32,000","352,000",
Harvard University,MA,Statewide,Private industry,611310,Harvard Graduate Students Union - United Automobile Workers,"HGSU, UAW",,,12/3/19,12/31/19,"2,400","48,000",
Kaiser Permanente,CA,Statewide,Private industry,621111,National Union of Healthcare Workers,NUHW,,,12/16/19,12/21/19,"4,000","20,000",
Swedish Medical Centers,WA,Seattle Metropolitan Area,Private industry,622110,Service Employee International Union,SEIU,1199NW,,01/28/2020,01/31/2020,"7,800","23,400",
San Joaquin County,CA,San Joaquin County,Local government,921100,California Nurses Association and Service Employee International Union,"CNA, SEIU",1021,,03/05/2020,03/07/2020,"1,000","2,000",
St. Paul Public Schools,MN,St. Paul,Local government,611110,St. Paul Federation of Educators,SPFE,28,,03/10/2020,03/13/2020,"3,600","10,800",
Bath Iron Works,ME,Bath,Private industry,336611,International Association of Machinists and Aerospace Workers,IAM,Local S6,,06/22/2020,08/23/2020,"4,300","189,200",
University of Michigan,MI,Ann Arbor,State government,61131,Graduate Employees' Organization,GEO,Local 3550,,09/08/2020,09/16/2020,"1,200","8,400",
University of Illinois,IL,Chicago,State government,61131,Service Employee International Union,"SEIU, INA",Local 73,,09/14/2020,09/24/2020,"4,500","37,300",
Cook County,IL,Chicago,Local government,62,Service Employee International Union,SEIU,Local 73,,12/22/2020,12/22/2020,"1,600","1,600",
Hunts Point Produce Market,NY,New York City,Private industry,445200,"International Brotherhood of Teamsters, Teamsters Joint Council 16 ",IBT,Local 202,,01/17/2021,01/23/2021,"1,400","5,600",
Columbia University,NY,New York City,Private industry,61131,Graduate Workers of Columbia University,GWC-UAW,Local 2110,,03/15/2021,[4],"3,000","162,000","The work stoppage paused on 4/02/2021 since the number of workers in the work stoppage were less than 1,000. The remaining workers returned to work on 5/13/2021. The work stoppage resumed on 11/03/2021."
Allegheny Technologies Incorporated,PA,Multiple,Private industry,332710,United Steelworkers,USW,"Local 1196, 1138",,03/30/2021,07/13/2021,"1,300","94,900",
"Warrior Met Coal, Inc.",AL,Brookwood,Private industry,212112,United Mine Workers of America,UMWA,"Local 2245, 2368, 2397, 2427",,04/01/2021,[4],"1,100","205,700",
New York University,NY,New York City,Private industry,61131,Graduate Student Organizing Committee,GSOC-UAW,Local 2110,,04/26/2021,05/15/2021,"2,200","33,000",
Cook County,IL,Chicago,Local government,622110,Service Employee International Union,SEIU,Local 73,,06/25/2021,07/12/2021,"2,000","22,000",
Volvo Trucks North America,VA,Dublin,Private industry,33612,United Auto Workers,UAW,Local 2069,,04/17/2021,07/14/2021,"2,900","101,500",The work stoppage was paused between 4/30/2021 and noon on 6/07/2021.
University of Southern California ,CA,Los Angeles,Private industry,622110,California Nurses Association/National Nurses Organizing Committee (CNA/NNOC),CNA/NNOC,,,07/13/2021,07/14/2021,"1,400","2,800",
Nabisco,"OR, IL, CO, GA, VA",Multiple,Private industry,31123,"Bakery, Confectionery, Tobacco Workers, and Grain Millers International",BCTGM,"Local 364, 1, 42, 26, 358",,08/19/2021,09/18/2021,"1,000","21,000","This work stoppage began on 8/10/2021, but did not reach the 1,000-worker threshold for inclusion on this report until 8/19/2021."
Associated General Contractors of Washington,WA,Multiple,Private industry,230000,Northwest Carpenters Union,NWCU,"Local 30, 41, 59, 70, 96, 129, 196, 816 ",,09/16/2021,10/11/2021,"2,000","34,000",
Harvard University,MA,Cambridge,Private industry,61131,Harvard Graduate Students Union-United Auto Workers,HGSU-UAW,Local 5118,,10/27/2021,10/29/2021,"2,000","6,000",
Mercy Hospital,NY,Buffalo,Private industry,6221,Communications Workers of America,CWA,Local 1133,,10/01/2021,11/09/2021,"2,000","54,000","On 9/30/2021, the collective bargaining agreement expired."
Kellogg's,"MI, PA, TN, NE",Multiple,Private industry,31123,"Bakery, Confectionery, Tobacco Workers, and Grain Millers International",BCTGM,"Local 3G, 374G, 252G, 50G",,10/05/2021,12/21/2021,"1,400","74,200","The work stoppage affected all of Kellogg's cereal-producing plants in the U.S., consisting of plants in Battle Creek, MI; Omaha, NE; Lancaster, PA; and Memphis, TN."
John Deere,"CO, GA, IL, IA, KS",Multiple,Private industry,333112,United Auto Workers,UAW,Local 74,,10/14/2021,11/17/2021,"10,000","240,000","The work stoppage involved employees at 14 different facilities in the United States (including 7,200 at seven factories in Iowa, three in Illinois, one in Kansas, and one distribution center in Colorado, Georgia, and Illinois.)"
Kaiser Permanente,CA,"Oakland, CA",Private industry,62211,"Service Employees International Union-United Healthcare Workers West (SEIU-UHW) Local 20 and Local 29, the California Nurses Association and National Union of Healthcare Workers (NUHW)","SEIU-UHW, OPEIU, IFPTE, NUHW","SEIU-UHW, Local 29 (OPEIU) & 20 (ESC/IFPTE)",,11/18/2021,11/19/2021,"40,000","40,000",
Fred Meyer - Kroger,OR,"Portland, Bend, Newburg and Klamath",Private industry,445110,United Food and Commercial Workers,UFCW,Local 555,,12/17/2021,12/17/2021,"7,000","7,000",
Footnotes:,,,,,,,,,,,,,
[1] Industry code is determined using 2017 North American Industry Classification System (NAICS).,,,,,,,,,,,,,
[2] The figures are rounded to the nearest hundred. Figures provided by organizations involved may be rounded prior to publication by BLS.,,,,,,,,,,,,,
"[3] The cumulative length of the work stoppage as measured in weekdays, Monday through Friday, excluding weekends and Federal holidays.",,,,,,,,,,,,,
[4] Ongoing work stoppage.,,,,,,,,,,,,,
"Source: U.S. Bureau of Labor Statistics, Work Stoppages Program.",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
